# Protein abundances computed from file 'C:\Users\timot\AppData\Local\Temp\knime_KNIME_project41745\fs-IDMer_0-71-41769\000\000\IDMerger_0\20170419_GM_Cyano_1000_R1_BC1_01_2485.idXML';;;;;;;;;;;;;
# Parameters (relevant only): top=3, average=median;;;;;;;;;;;;;
# Files/samples associated with abundance values below: 1: '_2019-01-05T14:45:00', 2: '_2019-01-05T14:47:15', 3: '_2019-01-05T14:49:08', 4: '_2019-01-05T14:51:33', 5: '_2019-01-05T14:53:38', 6: '_2019-01-05T14:56:44', 7: '_2019-01-05T15:00:09', 8: '_2019-01-05T15:03:26', 9: '_2019-01-05T15:06:26', 10: '_2019-01-05T15:09:48';;;;;;;;;;;;;
protein;n_proteins;protein_score;n_peptides;abundance_1;abundance_2;abundance_3;abundance_4;abundance_5;abundance_6;abundance_7;abundance_8;abundance_9;abundance_10
sll0002;1;0;15;1;0;0;0;0;1;2;2;2;2
sll0005;1;0;15;1;0;0;0;0;1;1;2;1;1
sll0006;1;0;12;0;0;1;1;0;1;1;1;1;1
sll0007;1;0;4;0;0;0;0;0;2;0;1;1;1
sll0008;1;0;5;0;0;0;0;0;0;0;0;1;1
sll0016;1;0;19;2;1;0;1;1;1;1;2;2;2
sll0017;1;0;9;2;2;2;4;0;1;2;0;0;2
sll0018;1;0;9;2;2;0;0;1;3;1;2;1;0
sll0019;1;0;12;2;0;1;0;0;1;1;2;2;0
sll0020;1;0;25;2;3;2;2;1;3;2;3;3;2
sll0021;1;0;9;0;2;1;0;0;0;0;0;0;0
sll0023;1;0;8;0;0;0;0;0;2;1;1;1;1
sll0024;1;0;9;0;0;0;1;0;1;1;0;0;1
sll0026;1;0;5;0;0;0;0;0;1;0;0;0;0
sll0030;1;0;8;0;0;0;0;0;1;0;0;0;0
sll0031;1;0;6;0;0;0;0;0;0;0;0;1;0
sll0033;1;0;12;1;1;0;1;0;2;2;1;1;2
sll0034;1;0;7;0;0;1;0;0;1;0;0;1;0
sll0036;1;0;6;0;0;0;0;0;0;1;0;0;0
sll0037;1;0;7;0;0;0;0;0;1;0;1;0;1
