# Protein abundances computed from file '/tmp/knime_KNIME_project261854/fs-IDMer_2-71-61870/000/000/IDMerger_0/20170419_GM_Cyano_1000_R1_BC1_01_2485.idXML',,,,,,,,,,,,,,,,,,,,,,,
# Parameters (relevant only): top=0, average=sum,,,,,,,,,,,,,,,,,,,,,,
FileList,,,,20170419_GM_Cyano_1000_R1_BC1_01_2485.idXML,20170419_GM_Cyano_1000_R2_BC2_01_2486.idXML,20170419_GM_Cyano_100_R1_BA5_01_2470.idXML,20170419_GM_Cyano_100_R2_BA6_01_2471.idXML,20170419_GM_Cyano_200_R1_BB1_01_2475.idXML,20170419_GM_Cyano_200_R2_BB2_01_2476.idXML,20170419_GM_Cyano_300_R1_BB5_01_2480.idXML,20170419_GM_Cyano_300_R2_BB6_01_2481.idXML,20170419_GM_Cyano_60_R1_BA1_01_2465.idXML	,20170419_GM_Cyano_60_R2_BA2_01_2466.idXML	,20180112_co2-0p15_r1_GC2_01_5489.idXML,20180112_co2-0p15_r2_GC3_01_5490.idXML,20180112_co2-0p20_r1_GB6_01_5484.idXML,20180112_co2-0p20_r2_GB7_01_5485.idXML,20180112_co2-0p30_r1_GB2_01_5479.idXML,20180112_co2-0p30_r2_GB3_01_5480.idXML,20180112_co2-0p50_r1_GA6_01_5474.idXML,20180112_co2-0p50_r2_GA7_01_5475.idXML,20180112_co2-1p00_r1_GA2_01_5469.idXML,20180112_co2-1p00_r2_GA3_01_5470.idXML
protein,n_proteins,protein_score,n_peptides,abundance_1,abundance_2,abundance_3,abundance_4,abundance_5,abundance_6,abundance_7,abundance_8,abundance_9,abundance_10,abundance_11,abundance_12,abundance_13,abundance_14,abundance_15,abundance_16,abundance_17,abundance_18,abundance_19,abundance_20
aph,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bla,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
eYFP,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mobA,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
mobB,1,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sgl0002,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sll0002,1,0,11,7,10,5,6,6,9,9,11,2,2,2,3,1,1,2,3,0,1,6,8
sll0005,1,0,7,0,3,0,5,1,0,0,1,2,0,1,1,1,0,1,3,1,2,1,1
sll0006,1,0,17,14,17,15,16,13,14,14,14,6,7,10,5,5,6,4,9,7,5,21,20
sll0007,1,0,2,1,2,2,1,1,1,1,3,2,1,1,1,3,1,3,2,1,1,2,1
sll0008,1,0,4,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0
sll0010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sll0016,1,0,11,7,6,9,8,9,10,15,7,5,4,1,5,7,3,3,5,3,5,9,12
sll0017,1,0,14,30,24,30,35,21,34,37,24,15,13,9,13,10,14,17,12,9,17,32,36
sll0018,1,0,11,34,23,23,28,31,26,24,25,8,16,14,8,8,16,10,8,18,7,17,18
sll0019,1,0,15,16,17,21,19,18,21,27,19,9,12,11,10,6,12,13,12,7,12,25,26
sll0020,1,0,28,50,54,57,58,51,59,52,46,22,29,21,22,23,27,30,25,26,21,41,44
sll0021,1,0,4,1,0,1,1,2,0,0,1,2,0,0,1,1,0,0,2,0,0,0,0
sll0022,1,0,3,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
sll0023,1,0,9,3,7,1,5,4,3,1,6,0,2,3,2,0,3,1,2,3,1,1,1
sll0024,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
