# Protein abundances computed from file 'C:\Users\timot\AppData\Local\Temp\knime_KNIME_project78896\fs-IDMer_0-71-78920\000\000\IDMerger_0\20170419_GM_Cyano_1000_R1_BC1_01_2485.mzML.idXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'Crux_0000-00-00T00:00:00', 2: 'Crux_2019-01-09T17:14:07', 3: 'Crux_2019-01-09T17:14:11', 4: 'Crux_2019-01-09T17:14:16', 5: 'Crux_2019-01-09T17:14:20', 6: 'Crux_2019-01-09T17:14:28', 7: 'Crux_2019-01-09T17:14:35', 8: 'Crux_2019-01-09T17:14:43', 9: 'Crux_2019-01-09T17:14:51', 10: 'Crux_2019-01-09T17:14:58'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"
"sgl0001"	1	0	5	3	1	4	2	2	3	4	5	2	7
"sgl0002"	1	0	4	1	3	2	5	0	1	0	0	1	1
"sll0002"	1	0	100	64	71	77	72	87	96	87	79	86	66
"sll0005"	1	0	86	25	15	15	27	30	52	57	55	68	51
"sll0006"	1	0	41	13	18	14	14	9	27	34	27	21	26
"sll0007"	1	0	14	5	4	6	4	5	4	10	5	6	9
"sll0008"	1	0	15	4	1	3	6	2	16	14	17	17	12
"sll0010"	1	0	19	11	7	9	7	20	13	12	11	5	7
"sll0016"	1	0	50	32	39	36	40	24	59	63	51	61	51
"sll0017"	1	0	48	27	12	31	34	16	34	46	42	37	44
"sll0018"	1	0	38	42	33	34	46	37	43	26	42	42	41
"sll0019"	1	0	35	31	20	22	24	14	41	39	41	35	51
"sll0020"	1	0	142	87	61	71	70	53	130	137	145	128	126
"sll0021"	1	0	40	20	15	16	27	12	18	21	20	21	20
"sll0022"	1	0	41	23	17	20	15	16	36	38	32	26	24
"sll0023"	1	0	42	14	9	20	17	12	26	30	21	24	23
"sll0024"	1	0	43	18	18	16	13	14	49	46	33	25	29
"sll0026"	1	0	19	3	5	3	2	4	14	12	15	10	5
"sll0027"	1	0	21	39	38	36	31	47	16	11	23	12	21
"sll0030"	1	0	40	24	22	21	21	12	27	32	21	22	24
"sll0031"	1	0	28	16	14	5	12	13	30	39	23	21	14
"sll0033"	1	0	57	28	21	20	24	16	27	37	38	30	25
"sll0034"	1	0	27	18	15	14	16	9	19	18	31	26	21
"sll0036"	1	0	29	3	6	5	7	6	19	10	16	16	20
"sll0037"	1	0	42	15	12	20	15	9	44	33	47	33	29
"sll0038"	1	0	55	20	10	21	13	14	28	29	32	39	35
"sll0039"	1	0	22	5	11	10	14	15	13	13	11	13	11
"sll0040"	1	0	11	6	6	9	5	5	12	12	13	18	10
"sll0041"	1	0	91	26	20	22	23	26	57	50	56	44	48
"sll0042"	1	0	23	22	20	15	12	16	34	38	38	29	32
"sll0043"	1	0	122	73	61	70	75	79	85	98	96	85	96
"sll0044"	1	0	19	8	9	9	7	6	22	14	24	17	16
"sll0045"	1	0	92	41	45	37	61	46	52	46	48	58	53
"sll0048"	1	0	47	13	16	14	13	16	40	51	48	53	29
"sll0051"	1	0	22	13	13	14	6	17	27	24	29	20	20
"sll0053"	1	0	63	29	30	25	34	29	29	34	36	31	35
"sll0055"	1	0	48	31	28	21	27	25	34	42	33	37	28
"sll0057"	1	0	39	13	13	24	21	22	36	46	36	44	34
"sll0058"	1	0	86	54	47	34	50	41	68	55	47	58	69
"sll0060"	1	0	25	10	9	13	17	13	31	24	16	18	21
"sll0062"	1	0	9	5	7	1	1	2	1	3	2	0	5
"sll0063"	1	0	22	1	3	6	8	1	8	8	9	5	10
"sll0064"	1	0	27	7	4	5	7	7	15	12	16	15	14
"sll0065"	1	0	36	14	14	14	10	13	26	24	23	16	26
"sll0066"	1	0	21	3	3	3	4	1	14	16	14	14	16
"sll0067"	1	0	19	8	10	10	10	11	16	12	13	8	12
"sll0068"	1	0	102	40	40	29	42	24	57	63	53	62	53
"sll0069"	1	0	38	30	19	29	21	24	35	41	39	51	44
"sll0070"	1	0	25	12	15	4	13	8	10	20	18	21	15
"sll0071"	1	0	41	20	17	18	18	10	11	16	13	16	24
"sll0072"	1	0	26	10	11	11	10	16	8	11	24	14	21
"sll0078"	1	0	102	50	48	58	51	35	66	65	79	77	77
"sll0080"	1	0	45	20	9	16	16	11	40	40	48	46	44
"sll0082"	1	0	7	3	11	3	1	3	7	7	4	7	7
"sll0083"	1	0	15	2	7	4	6	3	6	4	10	8	3
"sll0084"	1	0	17	4	2	6	2	3	19	15	12	11	12
"sll0085"	1	0	47	32	15	21	25	28	42	50	49	47	42
"sll0086"	1	0	57	23	20	20	24	20	42	52	48	40	39
"sll0088"	1	0	27	4	2	3	5	10	23	24	32	25	20
"sll0092"	1	0	21	5	4	7	9	4	11	6	9	9	11
"sll0094"	1	0	41	13	10	11	6	12	19	22	13	19	18
"sll0095"	1	0	61	19	28	28	31	23	27	26	34	30	44
"sll0096"	1	0	63	31	29	45	31	19	48	49	43	43	58
"sll0098"	1	0	41	23	12	22	18	11	43	37	27	42	32
"sll0099"	1	0	35	19	22	19	13	20	15	21	21	21	19
"sll0100"	1	0	31	10	2	5	9	12	22	25	27	17	15
"sll0101"	1	0	17	5	5	8	5	1	12	13	13	11	8
"sll0102"	1	0	48	25	16	17	15	15	29	29	32	28	25
"sll0103"	1	0	64	32	42	26	33	25	58	57	50	63	45
"sll0107"	1	0	11	8	5	5	7	3	6	4	2	3	7
"sll0108"	1	0	17	7	4	4	9	11	15	11	16	11	25
"sll0109"	1	0	16	3	2	1	3	2	13	12	14	15	15
"sll0135"	1	0	30	7	10	11	14	10	22	14	8	14	10
"sll0136"	1	0	42	23	19	20	17	21	19	15	28	29	25
"sll0140"	1	0	8	12	7	7	2	5	8	10	15	7	10
"sll0141"	1	0	70	26	28	33	28	22	59	53	52	39	42
"sll0142"	1	0	74	31	21	18	25	29	53	45	50	60	39
"sll0144"	1	0	33	23	22	28	19	21	26	27	32	42	29
"sll0145"	1	0	47	30	17	26	22	21	53	44	37	50	50
"sll0146"	1	0	22	9	5	10	5	9	12	10	7	15	8
"sll0147"	1	0	78	30	22	29	35	23	68	69	59	62	51
"sll0148"	1	0	55	34	35	40	33	21	40	31	36	31	33
"sll0149"	1	0	53	26	14	20	19	21	39	51	47	37	33
"sll0154"	1	0	79	45	45	37	45	33	91	87	74	67	76
"sll0156"	1	0	9	8	9	6	8	7	5	8	4	6	7
"sll0157"	1	0	13	1	1	3	3	5	7	13	7	4	10
"sll0158"	1	0	77	21	27	31	35	42	73	72	59	62	64
"sll0160"	1	0	18	15	7	2	9	8	19	13	19	9	14
"sll0161"	1	0	2	0	0	0	0	0	0	1	1	2	1
"sll0162"	1	0	43	29	17	19	20	24	43	26	28	38	32
"sll0163"	1	0	156	72	60	78	81	56	118	110	107	97	98
"sll0166"	1	0	55	23	17	25	18	22	37	41	55	54	46
