# Protein abundances computed from file 'C:\Users\timot\AppData\Local\Temp\knime_KNIME_project78896\fs-IDMer_0-71-78924\000\000\IDMerger_0\20170419_GM_Cyano_1000_R1_BC1_01_2485.idXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'MS-GF+_2019-01-08T17:24:51', 2: 'MS-GF+_2019-01-08T18:06:27', 3: 'MS-GF+_2019-01-08T18:54:28', 4: 'MS-GF+_2019-01-08T19:44:17', 5: 'MS-GF+_2019-01-08T20:30:51', 6: 'MS-GF+_2019-01-08T22:00:34', 7: 'MS-GF+_2019-01-08T23:24:36', 8: 'MS-GF+_2019-01-09T00:51:20', 9: 'MS-GF+_2019-01-09T02:19:48', 10: 'MS-GF+_2019-01-09T03:36:51'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"
"sgl0001"	1	0	7	15	14	20	14	8	5	5	4	9	7
"sgl0002"	1	0	13	6	6	9	7	10	6	10	5	8	5
"sll0002"	1	0	181	137	129	152	113	105	156	152	117	141	145
"sll0005"	1	0	125	50	48	44	58	44	64	66	58	45	49
"sll0006"	1	0	51	40	54	36	36	42	57	42	46	37	43
"sll0007"	1	0	17	4	3	4	7	4	9	8	4	4	5
"sll0008"	1	0	16	3	6	6	12	10	10	12	9	8	6
"sll0010"	1	0	47	27	35	26	27	27	39	22	24	28	19
"sll0016"	1	0	57	37	39	44	34	28	33	32	33	54	42
"sll0017"	1	0	45	45	35	34	43	31	77	65	70	89	84
"sll0018"	1	0	48	67	71	69	62	64	85	60	60	59	49
"sll0019"	1	0	39	42	44	48	52	38	54	59	54	60	62
"sll0020"	1	0	223	156	147	138	141	154	171	202	223	215	189
"sll0021"	1	0	35	25	14	23	13	20	16	14	13	12	22
"sll0022"	1	0	45	21	15	12	14	25	18	40	27	36	22
"sll0023"	1	0	51	35	30	29	21	21	29	28	33	29	32
"sll0024"	1	0	58	47	36	39	47	35	53	66	51	49	53
"sll0026"	1	0	20	10	12	11	13	4	4	5	7	8	11
"sll0027"	1	0	18	10	33	24	18	21	10	11	9	6	14
"sll0030"	1	0	47	26	27	32	29	25	43	34	44	32	34
"sll0031"	1	0	29	12	9	16	16	9	15	12	8	13	12
"sll0033"	1	0	95	48	39	56	34	28	70	64	56	45	41
"sll0034"	1	0	31	20	19	16	11	18	11	16	15	18	9
"sll0036"	1	0	32	6	4	5	4	9	15	12	11	22	8
"sll0037"	1	0	58	20	27	28	24	29	45	50	53	43	44
"sll0038"	1	0	61	28	26	30	28	32	39	26	46	24	35
"sll0039"	1	0	26	14	23	25	19	24	21	19	21	12	16
"sll0040"	1	0	13	7	3	6	3	10	4	6	12	10	8
"sll0041"	1	0	112	65	69	68	62	86	84	95	84	105	85
"sll0042"	1	0	21	18	34	24	20	12	20	23	19	24	20
"sll0043"	1	0	146	89	87	92	91	104	96	65	76	62	68
"sll0044"	1	0	25	15	8	9	12	9	23	24	19	17	13
"sll0045"	1	0	125	81	88	106	96	78	57	64	66	43	50
"sll0048"	1	0	65	27	25	23	23	23	36	47	41	45	48
"sll0051"	1	0	28	43	30	35	38	43	59	58	53	60	55
"sll0053"	1	0	74	34	45	24	31	60	35	40	40	32	42
"sll0055"	1	0	51	59	40	45	48	46	22	29	26	36	31
"sll0057"	1	0	58	26	29	36	33	32	38	59	45	55	61
"sll0058"	1	0	115	68	82	84	81	66	85	97	73	80	75
"sll0060"	1	0	36	57	49	46	47	44	35	32	48	31	37
"sll0062"	1	0	11	9	14	12	12	17	9	5	8	6	3
"sll0063"	1	0	15	8	9	7	10	4	10	15	9	8	13
"sll0064"	1	0	25	3	13	6	6	12	29	18	23	27	16
"sll0065"	1	0	41	13	12	15	20	17	19	24	18	20	20
"sll0066"	1	0	25	8	8	7	9	13	12	16	14	10	16
"sll0067"	1	0	22	15	24	13	11	29	16	9	15	13	8
"sll0068"	1	0	134	96	79	81	96	110	90	94	80	96	82
"sll0069"	1	0	46	76	63	70	71	59	49	51	61	59	66
"sll0070"	1	0	37	13	22	18	17	15	19	12	15	22	13
