# Protein abundances computed from file 'C:\Users\timot\AppData\Local\Temp\knime_KNIME_project78896\fs-IDMer_0-71-78922\000\000\IDMerger_0\20170419_GM_Cyano_1000_R1_BC1_01_2485.idXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'MS-GF+_2019-01-08T17:28:41', 2: 'MS-GF+_2019-01-08T18:10:00', 3: 'MS-GF+_2019-01-08T18:58:38', 4: 'MS-GF+_2019-01-08T19:48:14', 5: 'MS-GF+_2019-01-08T20:35:04', 6: 'MS-GF+_2019-01-08T22:04:53', 7: 'MS-GF+_2019-01-08T23:28:55', 8: 'MS-GF+_2019-01-09T00:55:37', 9: 'MS-GF+_2019-01-09T02:24:06', 10: 'MS-GF+_2019-01-09T03:41:04'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"
"DECOY_sll0812"	1	0	4	4	0	2	1	3	2	1	1	1	2
"DECOY_sll0933"	1	0	4	0	2	0	4	0	2	3	3	5	3
"DECOY_sll1689"	1	0	1	2	0	4	6	0	2	0	0	0	0
"DECOY_sll1810"	1	0	2	0	1	1	1	2	0	0	1	1	0
"DECOY_sll1915"	1	0	3	6	1	8	10	0	1	1	4	2	4
"DECOY_sll1921"	1	0	1	1	0	1	1	1	3	0	3	1	0
"DECOY_sll1968"	1	0	2	1	10	8	3	5	3	4	5	6	5
"DECOY_slr0008"	1	0	1	1	5	0	0	0	0	0	0	0	0
"DECOY_slr0628"	1	0	1	0	0	0	0	0	1	1	0	0	0
"DECOY_slr1050"	1	0	1	0	0	0	0	0	0	0	0	1	1
"DECOY_slr1601"	1	0	2	1	1	0	0	1	0	0	1	0	0
"DECOY_slr1689"	1	0	1	1	0	0	1	0	0	0	0	0	1
"DECOY_ssl3342"	1	0	2	2	4	3	1	1	7	10	11	5	3
"DECOY_ssr7035"	1	0	1	1	0	0	0	0	0	0	0	1	0
"sgl0001"	1	0	7	15	14	20	14	8	5	4	4	9	7
"sll0002"	1	0	160	124	121	138	96	85	151	137	108	132	131
"sll0005"	1	0	124	50	48	45	56	44	61	66	57	45	50
"sll0006"	1	0	51	40	54	35	34	43	57	42	46	37	43
"sll0007"	1	0	17	4	3	4	7	4	9	8	5	4	5
"sll0008"	1	0	16	3	6	6	13	10	10	12	9	8	6
"sll0010"	1	0	46	27	34	23	27	27	38	22	24	26	19
"sll0016"	1	0	58	38	39	43	34	27	33	32	34	54	42
"sll0017"	1	0	44	47	35	34	42	31	76	64	70	88	84
"sll0018"	1	0	48	63	70	64	58	63	85	60	60	58	52
"sll0019"	1	0	39	42	44	47	53	39	54	59	54	60	62
"sll0020"	1	0	223	159	146	136	144	156	170	206	223	213	189
"sll0021"	1	0	34	25	13	23	14	20	15	14	13	12	22
"sll0022"	1	0	45	21	15	12	15	26	18	40	27	37	22
"sll0023"	1	0	49	32	28	29	20	21	28	29	32	25	30
"sll0024"	1	0	58	47	38	39	48	35	54	65	51	49	54
"sll0026"	1	0	20	10	13	11	14	4	4	5	7	8	11
"sll0027"	1	0	18	10	33	24	19	22	10	11	9	7	13
